"Year","Area_type","Area_code","Area_description","Disability_indicator_code","Disability_indicator_description","Maori_ethnic_group_indicator_summary_code","Maori_ethnic_group_indicator_summary_description","Census_usually_resident_population_count_aged_5_years_and_over","Disability_indicator_by_Maori_ethnic_group_indicator_summary_percent","Disability_indicator_percent"
2018,"Regional Council","06","Hawke's Bay Region","Total stated","Total stated","Total","Total","127047","..","100.0"
2018,"Regional Council","07","Taranaki Region","0","Not disabled","00","No 'Maori' response given","73806",".."," 92.7"
2018,"Regional Council","07","Taranaki Region","0","Not disabled","20","Maori","14226"," 91.7"," 91.7"
2018,"Regional Council","07","Taranaki Region","0","Not disabled","Total","Total","88032",".."," 92.5"
2018,"Regional Council","07","Taranaki Region","1","Disabled","00","No 'Maori' response given","5847","..","  7.3"
2018,"Regional Council","07","Taranaki Region","1","Disabled","20","Maori","1284","  8.3","  8.3"
2018,"Regional Council","07","Taranaki Region","1","Disabled","Total","Total","7134","..","  7.5"
2018,"Regional Council","07","Taranaki Region","7","Response unidentifiable","00","No 'Maori' response given","6","..",".."
2018,"Regional Council","07","Taranaki Region","7","Response unidentifiable","20","Maori","C","..",".."
2018,"Regional Council","07","Taranaki Region","7","Response unidentifiable","Total","Total","9","..",".."
2018,"Regional Council","07","Taranaki Region","9","Not stated","00","No 'Maori' response given","9393","..",".."
2018,"Regional Council","07","Taranaki Region","9","Not stated","20","Maori","5232","..",".."
2018,"Regional Council","07","Taranaki Region","9","Not stated","Total","Total","14628","..",".."
2018,"Regional Council","07","Taranaki Region","Total","Total","00","No 'Maori' response given","89052","..",".."
2018,"Regional Council","07","Taranaki Region","Total","Total","20","Maori","20748","..",".."
2018,"Regional Council","07","Taranaki Region","Total","Total","Total","Total","109800","..",".."
2018,"Regional Council","07","Taranaki Region","Total stated","Total stated","00","No 'Maori' response given","79653","..","100.0"
2018,"Regional Council","07","Taranaki Region","Total stated","Total stated","20","Maori","15513","100.0","100.0"
2018,"Regional Council","07","Taranaki Region","Total stated","Total stated","Total","Total","95163","..","100.0"
2018,"Regional Council","08","Manawatu-Wanganui Region","0","Not disabled","00","No 'Maori' response given","141357",".."," 91.5"
2018,"Regional Council","08","Manawatu-Wanganui Region","0","Not disabled","20","Maori","31827"," 91.6"," 91.6"
2018,"Regional Council","08","Manawatu-Wanganui Region","0","Not disabled","Total","Total","173184",".."," 91.6"
2018,"Regional Council","08","Manawatu-Wanganui Region","1","Disabled","00","No 'Maori' response given","13065","..","  8.5"
2018,"Regional Council","08","Manawatu-Wanganui Region","1","Disabled","20","Maori","2919","  8.4","  8.4"
2018,"Regional Council","08","Manawatu-Wanganui Region","1","Disabled","Total","Total","15981","..","  8.4"
2018,"Regional Council","08","Manawatu-Wanganui Region","7","Response unidentifiable","00","No 'Maori' response given","12","..",".."
2018,"Regional Council","08","Manawatu-Wanganui Region","7","Response unidentifiable","20","Maori","12","..",".."
2018,"Regional Council","08","Manawatu-Wanganui Region","7","Response unidentifiable","Total","Total","24","..",".."
2018,"Regional Council","08","Manawatu-Wanganui Region","9","Not stated","00","No 'Maori' response given","20517","..",".."
2018,"Regional Council","08","Manawatu-Wanganui Region","9","Not stated","20","Maori","13917","..",".."
2018,"Regional Council","08","Manawatu-Wanganui Region","9","Not stated","Total","Total","34431","..",".."
2018,"Regional Council","08","Manawatu-Wanganui Region","Total","Total","00","No 'Maori' response given","174948","..",".."
2018,"Regional Council","08","Manawatu-Wanganui Region","Total","Total","20","Maori","48675","..",".."
2018,"Regional Council","08","Manawatu-Wanganui Region","Total","Total","Total","Total","223623","..",".."
2018,"Regional Council","08","Manawatu-Wanganui Region","Total stated","Total stated","00","No 'Maori' response given","154419","..","100.0"
2018,"Regional Council","08","Manawatu-Wanganui Region","Total stated","Total stated","20","Maori","34743","100.0","100.0"
2018,"Regional Council","08","Manawatu-Wanganui Region","Total stated","Total stated","Total","Total","189168","..","100.0"
2018,"Regional Council","09","Wellington Region","0","Not disabled","00","No 'Maori' response given","346941",".."," 94.2"
2018,"Regional Council","09","Wellington Region","0","Not disabled","20","Maori","46089"," 92.8"," 92.8"
2018,"Regional Council","09","Wellington Region","0","Not disabled","Total","Total","393030",".."," 94.0"
2018,"Regional Council","09","Wellington Region","1","Disabled","00","No 'Maori' response given","21420","..","  5.8"
2018,"Regional Council","09","Wellington Region","1","Disabled","20","Maori","3582","  7.2","  7.2"
2018,"Regional Council","09","Wellington Region","1","Disabled","Total","Total","25002","..","  6.0"
2018,"Regional Council","09","Wellington Region","7","Response unidentifiable","00","No 'Maori' response given","30","..",".."
2018,"Regional Council","09","Wellington Region","7","Response unidentifiable","20","Maori","21","..",".."
2018,"Regional Council","09","Wellington Region","7","Response unidentifiable","Total","Total","51","..",".."
2018,"Regional Council","09","Wellington Region","9","Not stated","00","No 'Maori' response given","43440","..",".."
2018,"Regional Council","09","Wellington Region","9","Not stated","20","Maori","15462","..",".."
2018,"Regional Council","09","Wellington Region","9","Not stated","Total","Total","58905","..",".."
2018,"Regional Council","09","Wellington Region","Total","Total","00","No 'Maori' response given","411831","..",".."
2018,"Regional Council","09","Wellington Region","Total","Total","20","Maori","65154","..",".."
2018,"Regional Council","09","Wellington Region","Total","Total","Total","Total","476988","..",".."
2018,"Regional Council","09","Wellington Region","Total stated","Total stated","00","No 'Maori' response given","368364","..","100.0"
2018,"Regional Council","09","Wellington Region","Total stated","Total stated","20","Maori","49671","100.0","100.0"
2018,"Regional Council","09","Wellington Region","Total stated","Total stated","Total","Total","418035","..","100.0"
2018,"Regional Council","12","West Coast Region","0","Not disabled","00","No 'Maori' response given","20919",".."," 90.9"
2018,"Regional Council","12","West Coast Region","0","Not disabled","20","Maori","2319"," 91.5"," 91.5"
2018,"Regional Council","12","West Coast Region","0","Not disabled","Total","Total","23241",".."," 91.0"
2018,"Regional Council","12","West Coast Region","1","Disabled","00","No 'Maori' response given","2094","..","  9.1"
2018,"Regional Council","12","West Coast Region","1","Disabled","20","Maori","216","  8.5","  8.5"
2018,"Regional Council","12","West Coast Region","1","Disabled","Total","Total","2310","..","  9.0"
2018,"Regional Council","12","West Coast Region","7","Response unidentifiable","00","No 'Maori' response given","C","..",".."
2018,"Regional Council","12","West Coast Region","7","Response unidentifiable","20","Maori","C","..",".."
2018,"Regional Council","12","West Coast Region","7","Response unidentifiable","Total","Total","3","..",".."
2018,"Regional Council","12","West Coast Region","9","Not stated","00","No 'Maori' response given","3525","..",".."
2018,"Regional Council","12","West Coast Region","9","Not stated","20","Maori","747","..",".."
2018,"Regional Council","12","West Coast Region","9","Not stated","Total","Total","4272","..",".."
2018,"Regional Council","12","West Coast Region","Total","Total","00","No 'Maori' response given","26541","..",".."
2018,"Regional Council","12","West Coast Region","Total","Total","20","Maori","3285","..",".."
2018,"Regional Council","12","West Coast Region","Total","Total","Total","Total","29826","..",".."
2018,"Regional Council","12","West Coast Region","Total stated","Total stated","00","No 'Maori' response given","23016","..","100.0"
2018,"Regional Council","12","West Coast Region","Total stated","Total stated","20","Maori","2535","100.0","100.0"
2018,"Regional Council","12","West Coast Region","Total stated","Total stated","Total","Total","25551","..","100.0"
2018,"Regional Council","13","Canterbury Region","0","Not disabled","00","No 'Maori' response given","430944",".."," 93.8"
2018,"Regional Council","13","Canterbury Region","0","Not disabled","20","Maori","36339"," 93.0"," 93.0"
2018,"Regional Council","13","Canterbury Region","0","Not disabled","Total","Total","467286",".."," 93.7"
2018,"Regional Council","13","Canterbury Region","1","Disabled","00","No 'Maori' response given","28584","..","  6.2"
2018,"Regional Council","13","Canterbury Region","1","Disabled","20","Maori","2721","  7.0","  7.0"
2018,"Regional Council","13","Canterbury Region","1","Disabled","Total","Total","31305","..","  6.3"
2018,"Regional Council","13","Canterbury Region","7","Response unidentifiable","00","No 'Maori' response given","60","..",".."
2018,"Regional Council","13","Canterbury Region","7","Response unidentifiable","20","Maori","21","..",".."
2018,"Regional Council","13","Canterbury Region","7","Response unidentifiable","Total","Total","81","..",".."
2018,"Regional Council","13","Canterbury Region","9","Not stated","00","No 'Maori' response given","55122","..",".."
2018,"Regional Council","13","Canterbury Region","9","Not stated","20","Maori","11052","..",".."
2018,"Regional Council","13","Canterbury Region","9","Not stated","Total","Total","66171","..",".."
2018,"Regional Council","13","Canterbury Region","Total","Total","00","No 'Maori' response given","514710","..",".."
2018,"Regional Council","13","Canterbury Region","Total","Total","20","Maori","50130","..",".."
2018,"Regional Council","13","Canterbury Region","Total","Total","Total","Total","564840","..",".."
2018,"Regional Council","13","Canterbury Region","Total stated","Total stated","00","No 'Maori' response given","459528","..","100.0"
2018,"Regional Council","13","Canterbury Region","Total stated","Total stated","20","Maori","39060","100.0","100.0"
2018,"Regional Council","13","Canterbury Region","Total stated","Total stated","Total","Total","498588","..","100.0"
2018,"Regional Council","14","Otago Region","0","Not disabled","00","No 'Maori' response given","161487",".."," 93.5"
2018,"Regional Council","14","Otago Region","0","Not disabled","20","Maori","13068"," 93.1"," 93.1"
2018,"Regional Council","14","Otago Region","0","Not disabled","Total","Total","174558",".."," 93.4"
2018,"Regional Council","14","Otago Region","1","Disabled","00","No 'Maori' response given","11280","..","  6.5"
2018,"Regional Council","14","Otago Region","1","Disabled","20","Maori","969","  6.9","  6.9"
2018,"Regional Council","14","Otago Region","1","Disabled","Total","Total","12252","..","  6.6"
