"Year","Area_type","Area_code","Area_description","Median_weekly_rent_paid_by_household_$"
"2006","Statistical Area 2","112000","Inlets other Auckland","C"
"2006","Statistical Area 2","112100","Wainui-Waiwera","220"
"2006","Statistical Area 2","112200","Parakai","240"
"2006","Statistical Area 2","112300","Helensville Rural","250"
"2006","Statistical Area 2","112400","Helensville","230"
"2006","Statistical Area 2","112500","Waitoki","280"
"2006","Statistical Area 2","112600","Waikoukou Valley","250"
"2006","Statistical Area 2","112700","Orewa North","320"
"2006","Statistical Area 2","112800","Hatfields Beach","280"
"2006","Statistical Area 2","112900","Orewa South","280"
"2006","Statistical Area 2","113000","Orewa Central","280"
"2006","Statistical Area 2","113100","Millwater North","300"
"2006","Statistical Area 2","113200","Waipatukahu","250"
"2006","Statistical Area 2","113300","Millwater South","C"
"2006","Statistical Area 2","113400","Dairy Flat North","280"
"2006","Statistical Area 2","113500","Dairy Flat West","280"
"2006","Statistical Area 2","113600","Kingsway","270"
"2006","Statistical Area 2","113700","Riverhead Forest","C"
"2006","Statistical Area 2","113800","Silverdale Central (Auckland)","240"
"2006","Statistical Area 2","113900","Red Beach West","280"
"2006","Statistical Area 2","114000","Red Beach East","290"
"2006","Statistical Area 2","114100","Silverdale South (Auckland)","260"
"2006","Statistical Area 2","114200","Waimauku","300"
"2006","Statistical Area 2","114300","Gulf Islands","50"
"2006","Statistical Area 2","114400","Vipond","280"
"2006","Statistical Area 2","114500","Muriwai","280"
"2006","Statistical Area 2","114600","Stanmore Bay West","290"
"2006","Statistical Area 2","114700","Kumeu Rural West","250"
"2006","Statistical Area 2","114800","Okura Bush","280"
"2006","Statistical Area 2","114900","Whangaparoa Central","270"
"2006","Statistical Area 2","115000","Kumeu-Huapai","300"
"2006","Statistical Area 2","115100","Stanmore Bay East","280"
"2006","Statistical Area 2","115200","Manly West","270"
"2006","Statistical Area 2","115300","Muriwai Valley-Bethells Beach","250"
"2006","Statistical Area 2","115400","Tindalls-Matakatia","280"
"2006","Statistical Area 2","115500","Coatesville","310"
"2006","Statistical Area 2","115600","Dairy Flat South","250"
"2006","Statistical Area 2","115700","Gulf Harbour North","350"
"2006","Statistical Area 2","115800","Manly East","270"
"2006","Statistical Area 2","115900","Riverhead","300"
"2006","Statistical Area 2","116000","Army Bay","270"
"2006","Statistical Area 2","116100","Kumeu Rural East","270"
"2006","Statistical Area 2","116200","Gulf Harbour South","320"
"2006","Statistical Area 2","116300","Paremoremo West","220"
"2006","Statistical Area 2","116400","Taupaki","260"
"2006","Statistical Area 2","116500","Long Bay","400"
"2006","Statistical Area 2","116600","Paremoremo East","280"
"2006","Statistical Area 2","116700","Albany Heights","360"
"2006","Statistical Area 2","116800","Awaruku","330"
"2006","Statistical Area 2","116900","Fairview Heights","330"
"2006","Statistical Area 2","117000","Whenuapai","200"
"2006","Statistical Area 2","117100","Waitakere Ranges North","220"
"2006","Statistical Area 2","117200","Torbay","300"
"2006","Statistical Area 2","117300","Albany Central","230"
"2006","Statistical Area 2","117400","Albany West","370"
"2006","Statistical Area 2","117500","Glamorgan","320"
"2006","Statistical Area 2","117600","Oteha East","350"
