"Year","Area_type","Area_code","Area_description","Maori_ethnic_group_indicator_summary_code","Maori_ethnic_group_indicator_summary_description","Median_total_personal_income_$"
"2018","Statistical Area 2","222800","National Park","00","No 'Maori' response given","32800"
"2018","Statistical Area 2","222800","National Park","20","Maori","23800"
"2018","Statistical Area 2","222800","National Park","Total","Total","30800"
"2018","Statistical Area 2","222900","Tangiwai","00","No 'Maori' response given","33400"
"2018","Statistical Area 2","222900","Tangiwai","20","Maori","24800"
"2018","Statistical Area 2","222900","Tangiwai","Total","Total","30500"
"2018","Statistical Area 2","223000","Raetihi","00","No 'Maori' response given","26900"
"2018","Statistical Area 2","223000","Raetihi","20","Maori","22900"
"2018","Statistical Area 2","223000","Raetihi","Total","Total","24100"
"2018","Statistical Area 2","223100","Ohakune","00","No 'Maori' response given","34600"
"2018","Statistical Area 2","223100","Ohakune","20","Maori","23900"
"2018","Statistical Area 2","223100","Ohakune","Total","Total","31100"
"2018","Statistical Area 2","223200","Waiouru","00","No 'Maori' response given","46800"
"2018","Statistical Area 2","223200","Waiouru","20","Maori","39900"
"2018","Statistical Area 2","223200","Waiouru","Total","Total","44900"
"2018","Statistical Area 2","223300","Upper Whanganui","00","No 'Maori' response given","31300"
"2018","Statistical Area 2","223300","Upper Whanganui","20","Maori","18900"
"2018","Statistical Area 2","223300","Upper Whanganui","Total","Total","25000"
"2018","Statistical Area 2","223400","Mowhanau","00","No 'Maori' response given","35100"
"2018","Statistical Area 2","223400","Mowhanau","20","Maori","33300"
"2018","Statistical Area 2","223400","Mowhanau","Total","Total","34800"
"2018","Statistical Area 2","223500","Brunswick-Papaiti","00","No 'Maori' response given","35600"
"2018","Statistical Area 2","223500","Brunswick-Papaiti","20","Maori","33200"
"2018","Statistical Area 2","223500","Brunswick-Papaiti","Total","Total","35300"
"2018","Statistical Area 2","223600","Castlecliff West","00","No 'Maori' response given","23500"
"2018","Statistical Area 2","223600","Castlecliff West","20","Maori","19400"
"2018","Statistical Area 2","223600","Castlecliff West","Total","Total","22400"
"2018","Statistical Area 2","223700","Otamatea (Whanganui District)","00","No 'Maori' response given","30000"
"2018","Statistical Area 2","223700","Otamatea (Whanganui District)","20","Maori","27000"
"2018","Statistical Area 2","223700","Otamatea (Whanganui District)","Total","Total","29900"
"2018","Statistical Area 2","223800","Castlecliff East","00","No 'Maori' response given","22000"
"2018","Statistical Area 2","223800","Castlecliff East","20","Maori","21200"
"2018","Statistical Area 2","223800","Castlecliff East","Total","Total","21800"
"2018","Statistical Area 2","223900","Springvale North","00","No 'Maori' response given","27700"
"2018","Statistical Area 2","223900","Springvale North","20","Maori","26100"
"2018","Statistical Area 2","223900","Springvale North","Total","Total","27300"
"2018","Statistical Area 2","224000","Lower Aramoho","00","No 'Maori' response given","22800"
"2018","Statistical Area 2","224000","Lower Aramoho","20","Maori","20200"
"2018","Statistical Area 2","224000","Lower Aramoho","Total","Total","22000"
"2018","Statistical Area 2","224100","St Johns Hill East","00","No 'Maori' response given","24500"
"2018","Statistical Area 2","224100","St Johns Hill East","20","Maori","22600"
"2018","Statistical Area 2","224100","St Johns Hill East","Total","Total","24400"
"2018","Statistical Area 2","224200","St Johns Hill West","00","No 'Maori' response given","29900"
"2018","Statistical Area 2","224200","St Johns Hill West","20","Maori","23800"
"2018","Statistical Area 2","224200","St Johns Hill West","Total","Total","29400"
"2018","Statistical Area 2","224300","Titoki","00","No 'Maori' response given","23300"
"2018","Statistical Area 2","224300","Titoki","20","Maori","19100"
"2018","Statistical Area 2","224300","Titoki","Total","Total","22200"
"2018","Statistical Area 2","224400","Springvale West","00","No 'Maori' response given","27700"
"2018","Statistical Area 2","224400","Springvale West","20","Maori","26500"
"2018","Statistical Area 2","224400","Springvale West","Total","Total","27600"
"2018","Statistical Area 2","224500","Springvale East","00","No 'Maori' response given","26700"
"2018","Statistical Area 2","224500","Springvale East","20","Maori","32700"
"2018","Statistical Area 2","224500","Springvale East","Total","Total","27300"
"2018","Statistical Area 2","224600","Upper Aramoho","00","No 'Maori' response given","24800"
"2018","Statistical Area 2","224600","Upper Aramoho","20","Maori","21300"
"2018","Statistical Area 2","224600","Upper Aramoho","Total","Total","24200"
"2018","Statistical Area 2","224700","Balgownie","00","No 'Maori' response given","21000"
"2018","Statistical Area 2","224700","Balgownie","20","Maori","37200"
"2018","Statistical Area 2","224700","Balgownie","Total","Total","23100"
"2018","Statistical Area 2","224800","Laird Park","00","No 'Maori' response given","23200"
"2018","Statistical Area 2","224800","Laird Park","20","Maori","18200"
"2018","Statistical Area 2","224800","Laird Park","Total","Total","22000"
"2018","Statistical Area 2","224900","Wembley Park","00","No 'Maori' response given","23600"
"2018","Statistical Area 2","224900","Wembley Park","20","Maori","20100"
"2018","Statistical Area 2","224900","Wembley Park","Total","Total","22200"
"2018","Statistical Area 2","225000","College Estate","00","No 'Maori' response given","23600"
"2018","Statistical Area 2","225000","College Estate","20","Maori","19600"
"2018","Statistical Area 2","225000","College Estate","Total","Total","23100"
"2018","Statistical Area 2","225100","Whanganui East-Williams Domain","00","No 'Maori' response given","23800"
"2018","Statistical Area 2","225100","Whanganui East-Williams Domain","20","Maori","20200"
"2018","Statistical Area 2","225100","Whanganui East-Williams Domain","Total","Total","23300"
"2018","Statistical Area 2","225200","Gonville West","00","No 'Maori' response given","19900"
"2018","Statistical Area 2","225200","Gonville West","20","Maori","19800"
"2018","Statistical Area 2","225200","Gonville West","Total","Total","19900"
"2018","Statistical Area 2","225300","Gonville North","00","No 'Maori' response given","24300"
"2018","Statistical Area 2","225300","Gonville North","20","Maori","22700"
"2018","Statistical Area 2","225300","Gonville North","Total","Total","24000"
"2018","Statistical Area 2","225400","Cornmarket","00","No 'Maori' response given","22300"
"2018","Statistical Area 2","225400","Cornmarket","20","Maori","18800"
"2018","Statistical Area 2","225400","Cornmarket","Total","Total","21700"
"2018","Statistical Area 2","225500","Whanganui East-Riverlands","00","No 'Maori' response given","24400"
"2018","Statistical Area 2","225500","Whanganui East-Riverlands","20","Maori","23400"
"2018","Statistical Area 2","225500","Whanganui East-Riverlands","Total","Total","24300"
"2018","Statistical Area 2","225600","Kaitoke-Fordell","00","No 'Maori' response given","31200"
"2018","Statistical Area 2","225600","Kaitoke-Fordell","20","Maori","7300"
"2018","Statistical Area 2","225600","Kaitoke-Fordell","Total","Total","25600"
"2018","Statistical Area 2","225700","Whanganui Central","00","No 'Maori' response given","29000"
"2018","Statistical Area 2","225700","Whanganui Central","20","Maori","19200"
"2018","Statistical Area 2","225700","Whanganui Central","Total","Total","26000"
"2018","Statistical Area 2","225800","Gonville South","00","No 'Maori' response given","24500"
"2018","Statistical Area 2","225800","Gonville South","20","Maori","22600"
"2018","Statistical Area 2","225800","Gonville South","Total","Total","24200"
"2018","Statistical Area 2","225900","Bastia-Durie Hill","00","No 'Maori' response given","33300"
"2018","Statistical Area 2","225900","Bastia-Durie Hill","20","Maori","31500"
"2018","Statistical Area 2","225900","Bastia-Durie Hill","Total","Total","33100"
"2018","Statistical Area 2","226000","Putiki","00","No 'Maori' response given","34500"
"2018","Statistical Area 2","226000","Putiki","20","Maori","25100"
"2018","Statistical Area 2","226000","Putiki","Total","Total","31100"
"2018","Statistical Area 2","226100","Mokai Patea","00","No 'Maori' response given","35700"
"2018","Statistical Area 2","226100","Mokai Patea","20","Maori","27000"
"2018","Statistical Area 2","226100","Mokai Patea","Total","Total","34000"
"2018","Statistical Area 2","226200","Ngamatea","00","No 'Maori' response given","37000"
"2018","Statistical Area 2","226200","Ngamatea","20","Maori","C"
"2018","Statistical Area 2","226200","Ngamatea","Total","Total","36200"
"2018","Statistical Area 2","226300","Turakina","00","No 'Maori' response given","32600"
"2018","Statistical Area 2","226300","Turakina","20","Maori","23600"
"2018","Statistical Area 2","226300","Turakina","Total","Total","28300"
"2018","Statistical Area 2","226400","Otairi","00","No 'Maori' response given","28400"
"2018","Statistical Area 2","226400","Otairi","20","Maori","21700"
"2018","Statistical Area 2","226400","Otairi","Total","Total","26900"
"2018","Statistical Area 2","226500","Taihape","00","No 'Maori' response given","29300"
"2018","Statistical Area 2","226500","Taihape","20","Maori","24600"
"2018","Statistical Area 2","226500","Taihape","Total","Total","27100"
"2018","Statistical Area 2","226600","Marton Rural","00","No 'Maori' response given","35500"
"2018","Statistical Area 2","226600","Marton Rural","20","Maori","25100"
"2018","Statistical Area 2","226600","Marton Rural","Total","Total","34500"
"2018","Statistical Area 2","226700","Marton North","00","No 'Maori' response given","24100"
"2018","Statistical Area 2","226700","Marton North","20","Maori","23600"
"2018","Statistical Area 2","226700","Marton North","Total","Total","24100"
"2018","Statistical Area 2","226800","Parewanui","00","No 'Maori' response given","37400"
"2018","Statistical Area 2","226800","Parewanui","20","Maori","27200"
"2018","Statistical Area 2","226800","Parewanui","Total","Total","36000"
"2018","Statistical Area 2","226900","Marton South","00","No 'Maori' response given","22800"
"2018","Statistical Area 2","226900","Marton South","20","Maori","19800"
"2018","Statistical Area 2","226900","Marton South","Total","Total","22100"
"2018","Statistical Area 2","227000","Bulls","00","No 'Maori' response given","32300"
"2018","Statistical Area 2","227000","Bulls","20","Maori","27700"
"2018","Statistical Area 2","227000","Bulls","Total","Total","31000"
"2018","Statistical Area 2","227100","Kiwitea","00","No 'Maori' response given","32700"
"2018","Statistical Area 2","227100","Kiwitea","20","Maori","28000"
"2018","Statistical Area 2","227100","Kiwitea","Total","Total","31900"
"2018","Statistical Area 2","227200","Tokorangi","00","No 'Maori' response given","38200"
"2018","Statistical Area 2","227200","Tokorangi","20","Maori","29600"
"2018","Statistical Area 2","227200","Tokorangi","Total","Total","36900"
"2018","Statistical Area 2","227300","Ohakea-Sanson","00","No 'Maori' response given","41100"
"2018","Statistical Area 2","227300","Ohakea-Sanson","20","Maori","30000"
"2018","Statistical Area 2","227300","Ohakea-Sanson","Total","Total","40100"
"2018","Statistical Area 2","227400","Oroua Downs","00","No 'Maori' response given","27000"
"2018","Statistical Area 2","227400","Oroua Downs","20","Maori","25000"
"2018","Statistical Area 2","227400","Oroua Downs","Total","Total","26700"
"2018","Statistical Area 2","227500","Awahuri","00","No 'Maori' response given","37200"
"2018","Statistical Area 2","227500","Awahuri","20","Maori","31000"
"2018","Statistical Area 2","227500","Awahuri","Total","Total","36400"
"2018","Statistical Area 2","227600","Pohangina-Apiti","00","No 'Maori' response given","37300"
"2018","Statistical Area 2","227600","Pohangina-Apiti","20","Maori","24600"
"2018","Statistical Area 2","227600","Pohangina-Apiti","Total","Total","36800"
"2018","Statistical Area 2","227700","Mount Taylor","00","No 'Maori' response given","46300"
"2018","Statistical Area 2","227700","Mount Taylor","20","Maori","40600"
"2018","Statistical Area 2","227700","Mount Taylor","Total","Total","45200"
"2018","Statistical Area 2","227800","Taikorea","00","No 'Maori' response given","37000"
"2018","Statistical Area 2","227800","Taikorea","20","Maori","36300"
"2018","Statistical Area 2","227800","Taikorea","Total","Total","37000"
"2018","Statistical Area 2","227900","Makino","00","No 'Maori' response given","31600"
"2018","Statistical Area 2","227900","Makino","20","Maori","24600"
"2018","Statistical Area 2","227900","Makino","Total","Total","29900"
"2018","Statistical Area 2","228000","Sandon","00","No 'Maori' response given","34100"
"2018","Statistical Area 2","228000","Sandon","20","Maori","27600"
"2018","Statistical Area 2","228000","Sandon","Total","Total","33500"
"2018","Statistical Area 2","228100","Kimbolton North","00","No 'Maori' response given","28700"
"2018","Statistical Area 2","228100","Kimbolton North","20","Maori","25400"
"2018","Statistical Area 2","228100","Kimbolton North","Total","Total","28200"
"2018","Statistical Area 2","228200","Warwick","00","No 'Maori' response given","26100"
"2018","Statistical Area 2","228200","Warwick","20","Maori","29600"
"2018","Statistical Area 2","228200","Warwick","Total","Total","26500"
"2018","Statistical Area 2","228300","Kimbolton West","00","No 'Maori' response given","24900"
"2018","Statistical Area 2","228300","Kimbolton West","20","Maori","25400"
"2018","Statistical Area 2","228300","Kimbolton West","Total","Total","24900"
"2018","Statistical Area 2","228400","Feilding Central","00","No 'Maori' response given","24700"
"2018","Statistical Area 2","228400","Feilding Central","20","Maori","19600"
"2018","Statistical Area 2","228400","Feilding Central","Total","Total","23900"
"2018","Statistical Area 2","228500","Kimbolton South","00","No 'Maori' response given","31400"
"2018","Statistical Area 2","228500","Kimbolton South","20","Maori","31900"
"2018","Statistical Area 2","228500","Kimbolton South","Total","Total","31400"
"2018","Statistical Area 2","228600","Kauwhata","00","No 'Maori' response given","39500"
"2018","Statistical Area 2","228600","Kauwhata","20","Maori","34700"
"2018","Statistical Area 2","228600","Kauwhata","Total","Total","39000"
"2018","Statistical Area 2","228700","Taonui","00","No 'Maori' response given","41300"
"2018","Statistical Area 2","228700","Taonui","20","Maori","49300"
"2018","Statistical Area 2","228700","Taonui","Total","Total","41700"
"2018","Statistical Area 2","228800","Newbury","00","No 'Maori' response given","36600"
"2018","Statistical Area 2","228800","Newbury","20","Maori","32100"
"2018","Statistical Area 2","228800","Newbury","Total","Total","36100"
"2018","Statistical Area 2","228900","Palmerston North Airport","00","No 'Maori' response given","39700"
"2018","Statistical Area 2","228900","Palmerston North Airport","20","Maori","31300"
"2018","Statistical Area 2","228900","Palmerston North Airport","Total","Total","38100"
"2018","Statistical Area 2","229000","Milson North","00","No 'Maori' response given","30100"
"2018","Statistical Area 2","229000","Milson North","20","Maori","31400"
"2018","Statistical Area 2","229000","Milson North","Total","Total","30300"
"2018","Statistical Area 2","229100","Cloverlea (Palmerston North City)","00","No 'Maori' response given","33600"
"2018","Statistical Area 2","229100","Cloverlea (Palmerston North City)","20","Maori","27400"
"2018","Statistical Area 2","229100","Cloverlea (Palmerston North City)","Total","Total","32300"
"2018","Statistical Area 2","229200","Tremaine","00","No 'Maori' response given","23800"
"2018","Statistical Area 2","229200","Tremaine","20","Maori","12600"
"2018","Statistical Area 2","229200","Tremaine","Total","Total","19900"
"2018","Statistical Area 2","229300","Milson South","00","No 'Maori' response given","32300"
"2018","Statistical Area 2","229300","Milson South","20","Maori","33800"
"2018","Statistical Area 2","229300","Milson South","Total","Total","32500"
"2018","Statistical Area 2","229400","Whakarongo","00","No 'Maori' response given","40300"
"2018","Statistical Area 2","229400","Whakarongo","20","Maori","36600"
"2018","Statistical Area 2","229400","Whakarongo","Total","Total","39900"
"2018","Statistical Area 2","229500","Westbrook","00","No 'Maori' response given","27900"
"2018","Statistical Area 2","229500","Westbrook","20","Maori","19300"
"2018","Statistical Area 2","229500","Westbrook","Total","Total","24800"
"2018","Statistical Area 2","229600","Takaro North","00","No 'Maori' response given","29100"
"2018","Statistical Area 2","229600","Takaro North","20","Maori","22700"
"2018","Statistical Area 2","229600","Takaro North","Total","Total","27800"
"2018","Statistical Area 2","229700","Pioneer West","00","No 'Maori' response given","40500"
"2018","Statistical Area 2","229700","Pioneer West","20","Maori","24600"
"2018","Statistical Area 2","229700","Pioneer West","Total","Total","40100"
"2018","Statistical Area 2","229800","Palmerston North Hospital","00","No 'Maori' response given","36000"
"2018","Statistical Area 2","229800","Palmerston North Hospital","20","Maori","29200"
"2018","Statistical Area 2","229800","Palmerston North Hospital","Total","Total","35000"
"2018","Statistical Area 2","229900","Highbury East","00","No 'Maori' response given","22100"
"2018","Statistical Area 2","229900","Highbury East","20","Maori","18500"
"2018","Statistical Area 2","229900","Highbury East","Total","Total","20300"
"2018","Statistical Area 2","230000","Park West","00","No 'Maori' response given","25800"
"2018","Statistical Area 2","230000","Park West","20","Maori","25500"
"2018","Statistical Area 2","230000","Park West","Total","Total","25700"
"2018","Statistical Area 2","230100","Takaro South","00","No 'Maori' response given","29900"
"2018","Statistical Area 2","230100","Takaro South","20","Maori","29100"
"2018","Statistical Area 2","230100","Takaro South","Total","Total","29700"
"2018","Statistical Area 2","230200","Roslyn (Palmerston North City)","00","No 'Maori' response given","28900"
"2018","Statistical Area 2","230200","Roslyn (Palmerston North City)","20","Maori","21900"
"2018","Statistical Area 2","230200","Roslyn (Palmerston North City)","Total","Total","27700"
"2018","Statistical Area 2","230300","Kelvin Grove West","00","No 'Maori' response given","34400"
"2018","Statistical Area 2","230300","Kelvin Grove West","20","Maori","32600"
"2018","Statistical Area 2","230300","Kelvin Grove West","Total","Total","34000"
"2018","Statistical Area 2","230400","Kelvin Grove North","00","No 'Maori' response given","40700"
"2018","Statistical Area 2","230400","Kelvin Grove North","20","Maori","43600"
"2018","Statistical Area 2","230400","Kelvin Grove North","Total","Total","41200"
"2018","Statistical Area 2","230500","Papaioea North","00","No 'Maori' response given","25300"
"2018","Statistical Area 2","230500","Papaioea North","20","Maori","19500"
"2018","Statistical Area 2","230500","Papaioea North","Total","Total","24400"
"2018","Statistical Area 2","230600","Palmerston North Central","00","No 'Maori' response given","19400"
"2018","Statistical Area 2","230600","Palmerston North Central","20","Maori","17900"
"2018","Statistical Area 2","230600","Palmerston North Central","Total","Total","18900"
"2018","Statistical Area 2","230700","Awapuni North","00","No 'Maori' response given","25500"
"2018","Statistical Area 2","230700","Awapuni North","20","Maori","22800"
"2018","Statistical Area 2","230700","Awapuni North","Total","Total","24800"
"2018","Statistical Area 2","230800","Terrace End","00","No 'Maori' response given","23600"
"2018","Statistical Area 2","230800","Terrace End","20","Maori","21400"
"2018","Statistical Area 2","230800","Terrace End","Total","Total","23200"
"2018","Statistical Area 2","230900","Maraetarata","00","No 'Maori' response given","36600"
"2018","Statistical Area 2","230900","Maraetarata","20","Maori","35200"
"2018","Statistical Area 2","230900","Maraetarata","Total","Total","36500"
"2018","Statistical Area 2","231000","Papaioea South","00","No 'Maori' response given","24300"
"2018","Statistical Area 2","231000","Papaioea South","20","Maori","25100"
"2018","Statistical Area 2","231000","Papaioea South","Total","Total","24400"
"2018","Statistical Area 2","231100","Royal Oak (Palmerston North City)","00","No 'Maori' response given","39500"
"2018","Statistical Area 2","231100","Royal Oak (Palmerston North City)","20","Maori","40900"
"2018","Statistical Area 2","231100","Royal Oak (Palmerston North City)","Total","Total","39700"
"2018","Statistical Area 2","231200","West End","00","No 'Maori' response given","24400"
"2018","Statistical Area 2","231200","West End","20","Maori","19600"
"2018","Statistical Area 2","231200","West End","Total","Total","23600"
"2018","Statistical Area 2","231300","Awapuni South","00","No 'Maori' response given","33800"
"2018","Statistical Area 2","231300","Awapuni South","20","Maori","26900"
"2018","Statistical Area 2","231300","Awapuni South","Total","Total","33000"
"2018","Statistical Area 2","231400","Milverton","00","No 'Maori' response given","20100"
"2018","Statistical Area 2","231400","Milverton","20","Maori","20100"
"2018","Statistical Area 2","231400","Milverton","Total","Total","20100"
"2018","Statistical Area 2","231500","Ruamahanga","00","No 'Maori' response given","31400"
"2018","Statistical Area 2","231500","Ruamahanga","20","Maori","23600"
"2018","Statistical Area 2","231500","Ruamahanga","Total","Total","30100"
"2018","Statistical Area 2","231600","Esplanade","00","No 'Maori' response given","23900"
"2018","Statistical Area 2","231600","Esplanade","20","Maori","23100"
"2018","Statistical Area 2","231600","Esplanade","Total","Total","23900"
"2018","Statistical Area 2","231700","Hokowhitu Central","00","No 'Maori' response given","38100"
"2018","Statistical Area 2","231700","Hokowhitu Central","20","Maori","30600"
"2018","Statistical Area 2","231700","Hokowhitu Central","Total","Total","37300"
"2018","Statistical Area 2","231800","Hokowhitu East","00","No 'Maori' response given","36600"
"2018","Statistical Area 2","231800","Hokowhitu East","20","Maori","34100"
"2018","Statistical Area 2","231800","Hokowhitu East","Total","Total","36400"
"2018","Statistical Area 2","231900","Turitea","00","No 'Maori' response given","5100"
"2018","Statistical Area 2","231900","Turitea","20","Maori","5000"
"2018","Statistical Area 2","231900","Turitea","Total","Total","5100"
"2018","Statistical Area 2","232000","Ruahine","00","No 'Maori' response given","44100"
"2018","Statistical Area 2","232000","Ruahine","20","Maori","21900"
"2018","Statistical Area 2","232000","Ruahine","Total","Total","42400"
"2018","Statistical Area 2","232100","Linton Camp","00","No 'Maori' response given","47800"
"2018","Statistical Area 2","232100","Linton Camp","20","Maori","45000"
"2018","Statistical Area 2","232100","Linton Camp","Total","Total","46900"
"2018","Statistical Area 2","232200","Ashhurst","00","No 'Maori' response given","33600"
"2018","Statistical Area 2","232200","Ashhurst","20","Maori","38200"
"2018","Statistical Area 2","232200","Ashhurst","Total","Total","34300"
"2018","Statistical Area 2","232300","Hokowhitu South","00","No 'Maori' response given","31900"
"2018","Statistical Area 2","232300","Hokowhitu South","20","Maori","25300"
"2018","Statistical Area 2","232300","Hokowhitu South","Total","Total","30700"
"2018","Statistical Area 2","232400","Aokautere","00","No 'Maori' response given","43600"
"2018","Statistical Area 2","232400","Aokautere","20","Maori","37600"
"2018","Statistical Area 2","232400","Aokautere","Total","Total","43100"
"2018","Statistical Area 2","232500","Pihauatua","00","No 'Maori' response given","44700"
"2018","Statistical Area 2","232500","Pihauatua","20","Maori","36900"
"2018","Statistical Area 2","232500","Pihauatua","Total","Total","44000"
"2018","Statistical Area 2","232600","Aokautere Rural","00","No 'Maori' response given","48000"
"2018","Statistical Area 2","232600","Aokautere Rural","20","Maori","26900"
"2018","Statistical Area 2","232600","Aokautere Rural","Total","Total","46400"
"2018","Statistical Area 2","232700","Poutoa","00","No 'Maori' response given","32200"
"2018","Statistical Area 2","232700","Poutoa","20","Maori","42600"
"2018","Statistical Area 2","232700","Poutoa","Total","Total","32900"
"2018","Statistical Area 2","232800","Norsewood","00","No 'Maori' response given","31800"
"2018","Statistical Area 2","232800","Norsewood","20","Maori","24600"
"2018","Statistical Area 2","232800","Norsewood","Total","Total","30700"
"2018","Statistical Area 2","232900","Papatawa","00","No 'Maori' response given","37900"
"2018","Statistical Area 2","232900","Papatawa","20","Maori","30300"
"2018","Statistical Area 2","232900","Papatawa","Total","Total","36600"
"2018","Statistical Area 2","233000","Mangatainoka","00","No 'Maori' response given","34700"
"2018","Statistical Area 2","233000","Mangatainoka","20","Maori","21700"
"2018","Statistical Area 2","233000","Mangatainoka","Total","Total","32700"
"2018","Statistical Area 2","233100","Woodville","00","No 'Maori' response given","23700"
"2018","Statistical Area 2","233100","Woodville","20","Maori","19500"
"2018","Statistical Area 2","233100","Woodville","Total","Total","22700"
"2018","Statistical Area 2","233200","Dannevirke West","00","No 'Maori' response given","26200"
"2018","Statistical Area 2","233200","Dannevirke West","20","Maori","20000"
"2018","Statistical Area 2","233200","Dannevirke West","Total","Total","24900"
"2018","Statistical Area 2","233300","Dannevirke East","00","No 'Maori' response given","23000"
"2018","Statistical Area 2","233300","Dannevirke East","20","Maori","21600"
"2018","Statistical Area 2","233300","Dannevirke East","Total","Total","22700"
"2018","Statistical Area 2","233400","Waitahora","00","No 'Maori' response given","36200"
"2018","Statistical Area 2","233400","Waitahora","20","Maori","29900"
"2018","Statistical Area 2","233400","Waitahora","Total","Total","35600"
"2018","Statistical Area 2","233500","Kaitawa","00","No 'Maori' response given","35300"
"2018","Statistical Area 2","233500","Kaitawa","20","Maori","18300"
"2018","Statistical Area 2","233500","Kaitawa","Total","Total","33800"
"2018","Statistical Area 2","233600","Pahiatua","00","No 'Maori' response given","24500"
"2018","Statistical Area 2","233600","Pahiatua","20","Maori","20700"
"2018","Statistical Area 2","233600","Pahiatua","Total","Total","23900"
"2018","Statistical Area 2","233700","Nireaha-Eketahuna","00","No 'Maori' response given","29000"
"2018","Statistical Area 2","233700","Nireaha-Eketahuna","20","Maori","21600"
"2018","Statistical Area 2","233700","Nireaha-Eketahuna","Total","Total","27600"
"2018","Statistical Area 2","233800","Owhanga","00","No 'Maori' response given","30200"
"2018","Statistical Area 2","233800","Owhanga","20","Maori","21800"
"2018","Statistical Area 2","233800","Owhanga","Total","Total","28700"
"2018","Statistical Area 2","233900","Mara","00","No 'Maori' response given","C"
"2018","Statistical Area 2","233900","Mara","20","Maori","C"
"2018","Statistical Area 2","233900","Mara","Total","Total","C"
"2018","Statistical Area 2","234000","Kere Kere","00","No 'Maori' response given","35900"
"2018","Statistical Area 2","234000","Kere Kere","20","Maori","36700"
"2018","Statistical Area 2","234000","Kere Kere","Total","Total","35900"
"2018","Statistical Area 2","234100","Foxton Beach","00","No 'Maori' response given","23700"
"2018","Statistical Area 2","234100","Foxton Beach","20","Maori","24600"
"2018","Statistical Area 2","234100","Foxton Beach","Total","Total","23800"
"2018","Statistical Area 2","234200","Foxton North","00","No 'Maori' response given","23100"
"2018","Statistical Area 2","234200","Foxton North","20","Maori","22700"
"2018","Statistical Area 2","234200","Foxton North","Total","Total","23000"
"2018","Statistical Area 2","234300","Foxton South","00","No 'Maori' response given","21600"
"2018","Statistical Area 2","234300","Foxton South","20","Maori","20500"
"2018","Statistical Area 2","234300","Foxton South","Total","Total","21400"
"2018","Statistical Area 2","234400","Waitarere","00","No 'Maori' response given","30800"
"2018","Statistical Area 2","234400","Waitarere","20","Maori","24700"
"2018","Statistical Area 2","234400","Waitarere","Total","Total","29800"
"2018","Statistical Area 2","234500","Waikawa (Horowhenua District)","00","No 'Maori' response given","33400"
"2018","Statistical Area 2","234500","Waikawa (Horowhenua District)","20","Maori","19300"
"2018","Statistical Area 2","234500","Waikawa (Horowhenua District)","Total","Total","29700"
"2018","Statistical Area 2","234600","Miranui","00","No 'Maori' response given","37700"
"2018","Statistical Area 2","234600","Miranui","20","Maori","30500"
"2018","Statistical Area 2","234600","Miranui","Total","Total","36700"
"2018","Statistical Area 2","234700","Donnelly Park","00","No 'Maori' response given","22300"
"2018","Statistical Area 2","234700","Donnelly Park","20","Maori","22700"
"2018","Statistical Area 2","234700","Donnelly Park","Total","Total","22300"
"2018","Statistical Area 2","234800","Ohau-Manakau","00","No 'Maori' response given","28100"
"2018","Statistical Area 2","234800","Ohau-Manakau","20","Maori","24800"
"2018","Statistical Area 2","234800","Ohau-Manakau","Total","Total","27600"
"2018","Statistical Area 2","234900","Kawiu South","00","No 'Maori' response given","24300"
"2018","Statistical Area 2","234900","Kawiu South","20","Maori","27700"
"2018","Statistical Area 2","234900","Kawiu South","Total","Total","24700"
"2018","Statistical Area 2","235000","Makomako","00","No 'Maori' response given","21300"
"2018","Statistical Area 2","235000","Makomako","20","Maori","18000"
"2018","Statistical Area 2","235000","Makomako","Total","Total","20600"
"2018","Statistical Area 2","235100","Kawiu North","00","No 'Maori' response given","27400"
"2018","Statistical Area 2","235100","Kawiu North","20","Maori","32700"
"2018","Statistical Area 2","235100","Kawiu North","Total","Total","27900"
"2018","Statistical Area 2","235200","Levin Central","00","No 'Maori' response given","21900"
"2018","Statistical Area 2","235200","Levin Central","20","Maori","18700"
"2018","Statistical Area 2","235200","Levin Central","Total","Total","21500"
"2018","Statistical Area 2","235300","Tararua","00","No 'Maori' response given","24900"
"2018","Statistical Area 2","235300","Tararua","20","Maori","20800"
"2018","Statistical Area 2","235300","Tararua","Total","Total","24200"
"2018","Statistical Area 2","235400","Shannon","00","No 'Maori' response given","22800"
"2018","Statistical Area 2","235400","Shannon","20","Maori","18400"
"2018","Statistical Area 2","235400","Shannon","Total","Total","21300"
"2018","Statistical Area 2","235500","Queenwood (Horowhenua District)","00","No 'Maori' response given","21600"
"2018","Statistical Area 2","235500","Queenwood (Horowhenua District)","20","Maori","19900"
"2018","Statistical Area 2","235500","Queenwood (Horowhenua District)","Total","Total","21300"
"2018","Statistical Area 2","235600","Playford Park","00","No 'Maori' response given","22000"
"2018","Statistical Area 2","235600","Playford Park","20","Maori","20400"
"2018","Statistical Area 2","235600","Playford Park","Total","Total","21800"
"2018","Statistical Area 2","235700","Fairfield (Horowhenua District)","00","No 'Maori' response given","23600"
"2018","Statistical Area 2","235700","Fairfield (Horowhenua District)","20","Maori","27100"
"2018","Statistical Area 2","235700","Fairfield (Horowhenua District)","Total","Total","23800"
"2018","Statistical Area 2","235800","Taitoko","00","No 'Maori' response given","20900"
"2018","Statistical Area 2","235800","Taitoko","20","Maori","19400"
"2018","Statistical Area 2","235800","Taitoko","Total","Total","20500"
