"Year","Area_type","Area_code","Area_description","Maori_ethnic_group_indicator_summary_code","Maori_ethnic_group_indicator_summary_description","Median_total_personal_income_$"
"2018","Statistical Area 2","102700","Waima Forest","Total","Total","17600"
"2018","Statistical Area 2","102800","Riverview","00","No 'Maori' response given","30000"
"2018","Statistical Area 2","102800","Riverview","20","Maori","26000"
"2018","Statistical Area 2","102800","Riverview","Total","Total","29700"
"2018","Statistical Area 2","102900","Waipoua Forest","00","No 'Maori' response given","20000"
"2018","Statistical Area 2","102900","Waipoua Forest","20","Maori","17700"
"2018","Statistical Area 2","102900","Waipoua Forest","Total","Total","18800"
"2018","Statistical Area 2","103000","Kerikeri Central","00","No 'Maori' response given","23800"
"2018","Statistical Area 2","103000","Kerikeri Central","20","Maori","22200"
"2018","Statistical Area 2","103000","Kerikeri Central","Total","Total","23600"
"2018","Statistical Area 2","103100","Kerikeri South","00","No 'Maori' response given","28300"
"2018","Statistical Area 2","103100","Kerikeri South","20","Maori","30500"
"2018","Statistical Area 2","103100","Kerikeri South","Total","Total","28500"
"2018","Statistical Area 2","103200","Ohaeawai-Waimate North","00","No 'Maori' response given","30000"
"2018","Statistical Area 2","103200","Ohaeawai-Waimate North","20","Maori","21800"
"2018","Statistical Area 2","103200","Ohaeawai-Waimate North","Total","Total","26900"
"2018","Statistical Area 2","103300","Puketona-Waitangi","00","No 'Maori' response given","32700"
"2018","Statistical Area 2","103300","Puketona-Waitangi","20","Maori","25300"
"2018","Statistical Area 2","103300","Puketona-Waitangi","Total","Total","30900"
"2018","Statistical Area 2","103400","Ngapuhi","00","No 'Maori' response given","16200"
"2018","Statistical Area 2","103400","Ngapuhi","20","Maori","16100"
"2018","Statistical Area 2","103400","Ngapuhi","Total","Total","16100"
"2018","Statistical Area 2","103500","Kaikohe","00","No 'Maori' response given","21600"
"2018","Statistical Area 2","103500","Kaikohe","20","Maori","18100"
"2018","Statistical Area 2","103500","Kaikohe","Total","Total","19000"
"2018","Statistical Area 2","103600","Pakaraka","00","No 'Maori' response given","29800"
"2018","Statistical Area 2","103600","Pakaraka","20","Maori","28300"
"2018","Statistical Area 2","103600","Pakaraka","Total","Total","29400"
"2018","Statistical Area 2","103700","Haruru","00","No 'Maori' response given","25400"
"2018","Statistical Area 2","103700","Haruru","20","Maori","23000"
"2018","Statistical Area 2","103700","Haruru","Total","Total","25000"
"2018","Statistical Area 2","103800","Russell","00","No 'Maori' response given","27000"
"2018","Statistical Area 2","103800","Russell","20","Maori","27000"
"2018","Statistical Area 2","103800","Russell","Total","Total","27100"
"2018","Statistical Area 2","103900","Paihia","00","No 'Maori' response given","29100"
"2018","Statistical Area 2","103900","Paihia","20","Maori","19300"
"2018","Statistical Area 2","103900","Paihia","Total","Total","25000"
"2018","Statistical Area 2","104000","Mataraua Forest","00","No 'Maori' response given","28400"
