"Year","Area_type","Area_code","Area_description","Median_weekly_rent_paid_by_household_$"
"2013","Statistical Area 2","104500","Moerewa","200"
"2013","Statistical Area 2","104600","Kawakawa","200"
"2013","Statistical Area 2","104700","Maromaku","160"
"2013","Statistical Area 2","104800","Mangakahia-Hukerenui","150"
"2013","Statistical Area 2","104900","Whangaruru","180"
"2013","Statistical Area 2","105000","Inlets other Whangarei District","C"
"2013","Statistical Area 2","105100","Matarau","280"
"2013","Statistical Area 2","105200","Hikurangi","250"
"2013","Statistical Area 2","105300","Kauri","300"
"2013","Statistical Area 2","105400","Maungatapere","250"
"2013","Statistical Area 2","105500","Kamo West","250"
"2013","Statistical Area 2","105600","Matapouri-Tutukaka","270"
"2013","Statistical Area 2","105700","Kiripaka","270"
"2013","Statistical Area 2","105800","Kamo East","280"
"2013","Statistical Area 2","105900","Granfield Reserve","300"
"2013","Statistical Area 2","106000","Kamo Central","270"
"2013","Statistical Area 2","106100","Whau Valley","250"
"2013","Statistical Area 2","106200","Tikipunga North","250"
"2013","Statistical Area 2","106300","Pukenui","290"
"2013","Statistical Area 2","106400","Otangarei","140"
"2013","Statistical Area 2","106500","Tikipunga South","270"
"2013","Statistical Area 2","106600","Kensington (Whangarei District)","240"
"2013","Statistical Area 2","106700","Abbey Caves-Glenbervie","290"
"2013","Statistical Area 2","106800","Mairtown","240"
"2013","Statistical Area 2","106900","Maunu-Horahora","270"
"2013","Statistical Area 2","107000","Woodhill-Vinetown","250"
"2013","Statistical Area 2","107100","Whangarei Central","220"
"2013","Statistical Area 2","107200","Riverside","270"
"2013","Statistical Area 2","107300","Raumanga","240"
"2013","Statistical Area 2","107400","Tarewa","240"
"2013","Statistical Area 2","107500","Morningside (Whangarei District)","260"
"2013","Statistical Area 2","107600","Ngunguru","250"
"2013","Statistical Area 2","107700","Otaika-Portland","250"
"2013","Statistical Area 2","107800","Oakleigh-Mangapai","200"
"2013","Statistical Area 2","107900","Port-Limeburners","C"
"2013","Statistical Area 2","108000","Pataua","250"
"2013","Statistical Area 2","108100","Onerahi Park","280"
"2013","Statistical Area 2","108200","Sherwood Rise","250"
"2013","Statistical Area 2","108300","Onerahi","260"
"2013","Statistical Area 2","108400","Inlet Whangarei Harbour","C"
"2013","Statistical Area 2","108500","Parua Bay","300"
"2013","Statistical Area 2","108600","Bream Bay","250"
"2013","Statistical Area 2","108700","Marsden Bay","300"
"2013","Statistical Area 2","108800","Ruakaka","270"
"2013","Statistical Area 2","108900","Bream Head","270"
"2013","Statistical Area 2","109000","Waipu","270"
"2013","Statistical Area 2","109100","Kaipara Coastal","170"
"2013","Statistical Area 2","109200","Maungaru","150"
"2013","Statistical Area 2","109300","Dargaville","200"
"2013","Statistical Area 2","109400","Ruawai-Matakohe","150"
"2013","Statistical Area 2","109500","Otamatea (Kaipara District)","170"
"2013","Statistical Area 2","109600","Maungaturoto","200"
"2013","Statistical Area 2","109700","Kaiwaka","230"
